"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
"147" "3" "2" "1" "1" "1" "1" "4" "4" "3" "2" "3" "2" "2" "5" "4" "5" "2" "3" "4" "2" "2" "5" "4" "2" "3" "3" "5" "1" "2" "5" "2" "5" "2" "4" "4" "2" "2" "5" "5" "4" "2" "5" "5" "1" "1" "5" "3" "4" "3" "2" "3" "2" "2" "3" "2" "4" "21" "28" "24" "M"
"148" "3" "1" "2" "1" "1" "1" "3" "2" "4" "3" "2" "4" "4" "2" "3" "2" "5" "3" "2" "5" "4" "4" "3" "2" "5" "2" "2" "5" "4" "3" "4" "5" "3" "2" "2" "4" "4" "4" "3" "5" "4" "4" "5" "2" "4" "4" "1" "4" "4" "3" "4" "1" "3" "3" "2" "4" "24" "29" "21" "F"
"149" "4" "1" "2" "1" "1" "1" "3" "3" "4" "2" "4" "3" "4" "2" "3" "2" "5" "4" "2" "4" "2" "4" "4" "1" "4" "2" "4" "3" "2" "2" "4" "4" "4" "1" "3" "4" "4" "5" "5" "5" "4" "3" "5" "2" "3" "5" "2" "3" "2" "4" "2" "2" "1" "3" "4" "1" "20" "24" "20" "F"
"150" "4" "3" "4" "5" "4" "5" "3" "1" "5" "3" "4" "4" "4" "2" "3" "2" "4" "3" "2" "4" "2" "4" "2" "1" "4" "2" "2" "4" "4" "4" "1" "4" "4" "2" "1" "4" "5" "5" "5" "5" "3" "3" "4" "3" "5" "4" "2" "4" "4" "3" "4" "2" "3" "3" "2" "4" "21" "31" "28" "M"
"151" "3" "2" "2" "1" "1" "1" "4" "1" "4" "4" "3" "3" "4" "2" "4" "1" "4" "4" "2" "4" "4" "2" "3" "1" "3" "4" "3" "4" "2" "1" "5" "5" "3" "3" "2" "4" "1" "3" "3" "4" "4" "4" "4" "4" "4" "3" "1" "2" "3" "2" "4" "1" "1" "1" "1" "3" "20" "19" "12" "F"
"152" "3" "4" "3" "2" "1" "1" "4" "3" "4" "1" "2" "2" "4" "3" "4" "2" "4" "2" "2" "5" "4" "3" "2" "1" "4" "2" "3" "2" "1" "2" "1" "5" "4" "1" "3" "4" "4" "3" "1" "4" "4" "3" "4" "2" "5" "2" "2" "3" "1" "2" "1" "2" "1" "5" "1" "2" "20" "20" "21" "F"
"153" "3" "2" "2" "2" "1" "2" "5" "1" "4" "4" "2" "2" "4" "1" "4" "1" "3" "4" "3" "4" "2" "3" "3" "1" "4" "4" "4" "2" "2" "2" "5" "3" "4" "3" "2" "3" "4" "4" "4" "4" "4" "4" "3" "3" "4" "4" "3" "4" "4" "5" "4" "2" "4" "3" "4" "5" "18" "38" "28" "F"
"154" "3" "2" "2" "3" "1" "2" "4" "3" "4" "4" "2" "2" "4" "2" "4" "2" "4" "3" "2" "4" "3" "2" "3" "2" "4" "2" "4" "3" "4" "2" "5" "4" "3" "1" "3" "4" "4" "4" "2" "5" "5" "5" "5" "3" "4" "2" "3" "4" "4" "5" "3" "1" "4" "2" "4" "4" "21" "34" "31" "F"
"155" "4" "1" "1" "1" "1" "1" "3" "4" "4" "2" "4" "4" "3" "2" "3" "4" "4" "2" "3" "4" "2" "4" "2" "2" "3" "3" "1" "3" "3" "4" "5" "5" "3" "1" "2" "4" "4" "5" "3" "4" "4" "3" "5" "3" "4" "5" "1" "4" "4" "5" "4" "4" "2" "4" "5" "4" "19" "37" "18" "F"
"156" "4" "1" "2" "1" "1" "1" "4" "5" "5" "3" "4" "3" "5" "3" "3" "4" "5" "3" "1" "5" "3" "1" "4" "5" "4" "2" "2" "5" "4" "3" "2" "5" "5" "1" "5" "5" "2" "4" "4" "5" "3" "5" "5" "4" "4" "5" "3" "4" "4" "3" "4" "1" "2" "2" "3" "3" "21" "29" "25" "F"
"157" "2" "3" "3" "1" "1" "2" "4" "2" "5" "4" "3" "2" "3" "2" "4" "1" "4" "4" "3" "3" "4" "3" "4" "1" "4" "3" "2" "2" "4" "4" "5" "5" "2" "4" "3" "2" "4" "4" "2" "4" "3" "4" "4" "2" "2" "4" "2" "4" "2" "4" "2" "1" "2" "1" "1" "4" "20" "23" "19" "F"
"158" "2" "1" "2" "1" "1" "1" "3" "2" "4" "3" "4" "5" "4" "1" "4" "1" "4" "3" "2" "5" "4" "1" "2" "1" "4" "2" "2" "4" "4" "2" "4" "2" "5" "3" "2" "5" "5" "4" "4" "4" "3" "5" "5" "4" "5" "5" "4" "4" "5" "4" "4" "3" "4" "4" "4" "5" "21" "41" "21" "M"
"159" "4" "3" "2" "2" "1" "1" "4" "3" "4" "4" "3" "3" "4" "2" "2" "2" "3" "2" "2" "4" "3" "3" "4" "1" "3" "2" "2" "3" "3" "4" "5" "4" "3" "4" "3" "3" "3" "5" "3" "4" "4" "3" "4" "4" "3" "4" "2" "4" "3" "3" "3" "1" "2" "2" "3" "4" "20" "27" "16" "F"
"160" "2" "1" "2" "3" "1" "1" "4" "5" "5" "4" "3" "4" "5" "5" "4" "1" "4" "2" "2" "4" "2" "5" "3" "5" "4" "4" "2" "2" "4" "5" "5" "1" "4" "5" "3" "4" "5" "5" "5" "5" "4" "5" "5" "3" "4" "4" "1" "5" "5" "4" "5" "1" "3" "2" "4" "5" "21" "35" "7" "F"
"161" "4" "2" "3" "1" "2" "2" "4" "3" "4" "2" "1" "4" "4" "2" "3" "1" "4" "4" "2" "4" "4" "2" "4" "1" "3" "1" "4" "3" "4" "3" "5" "5" "4" "3" "2" "3" "2" "4" "5" "5" "4" "4" "5" "4" "4" "2" "4" "5" "3" "2" "4" "2" "3" "4" "2" "5" "20" "34" "21" "F"
"162" "3" "2" "3" "1" "1" "1" "4" "5" "5" "4" "3" "3" "5" "2" "4" "1" "5" "2" "2" "5" "5" "3" "4" "4" "5" "2" "2" "4" "3" "4" "5" "4" "4" "2" "3" "5" "5" "5" "3" "5" "4" "4" "4" "4" "5" "3" "2" "5" "4" "4" "4" "1" "3" "2" "2" "5" "18" "32" "17" "F"
"163" "2" "3" "2" "2" "1" "2" "4" "1" "5" "3" "2" "3" "2" "4" "3" "3" "4" "5" "4" "4" "3" "3" "5" "1" "3" "5" "4" "3" "4" "4" "5" "5" "3" "3" "1" "4" "5" "5" "5" "4" "3" "5" "5" "3" "4" "5" "3" "4" "4" "3" "2" "4" "2" "5" "3" "3" "22" "33" "22" "M"
"164" "4" "1" "2" "1" "1" "1" "4" "2" "5" "4" "4" "3" "4" "3" "4" "2" "4" "4" "3" "4" "3" "4" "3" "1" "2" "3" "3" "3" "4" "3" "4" "3" "4" "2" "3" "4" "4" "4" "4" "3" "3" "4" "5" "3" "4" "3" "2" "4" "3" "4" "2" "3" "3" "5" "3" "4" "22" "33" "18" "F"
"165" "3" "2" "2" "3" "1" "1" "2" "3" "3" "2" "3" "2" "2" "4" "3" "3" "2" "1" "3" "3" "4" "5" "2" "2" "3" "1" "1" "1" "2" "5" "4" "5" "1" "1" "2" "5" "3" "2" "2" "5" "3" "5" "3" "2" "3" "4" "2" "3" "4" "5" "3" "3" "3" "5" "4" "3" "24" "35" "25" "M"
"166" "2" "1" "1" "1" "1" "1" "2" "2" "4" "4" "3" "3" "5" "2" "4" "1" "4" "4" "3" "5" "4" "2" "3" "2" "4" "4" "1" "4" "4" "2" "5" "4" "4" "3" "3" "4" "5" "5" "4" "5" "4" "3" "5" "3" "5" "4" "2" "4" "4" "4" "4" "2" "3" "3" "2" "4" "19" "32" "24" "F"
"167" "3" "1" "2" "1" "1" "1" "4" "3" "4" "4" "4" "3" "3" "4" "4" "3" "4" "2" "4" "4" "2" "4" "3" "3" "3" "2" "4" "2" "3" "5" "5" "5" "4" "3" "3" "3" "4" "4" "5" "4" "4" "5" "5" "3" "3" "5" "3" "3" "4" "4" "3" "1" "3" "2" "4" "4" "20" "31" "23" "F"
"168" "2" "4" "4" "5" "5" "4" "2" "2" "4" "1" "2" "3" "4" "1" "2" "2" "3" "3" "2" "5" "2" "2" "3" "4" "4" "2" "4" "3" "2" "2" "4" "5" "4" "1" "4" "5" "4" "4" "2" "5" "3" "3" "4" "3" "3" "4" "1" "4" "2" "4" "3" "1" "2" "2" "1" "4" "21" "24" "0" "F"
"169" "5" "1" "2" "1" "1" "1" "2" "4" "5" "2" "2" "4" "4" "2" "2" "1" "5" "1" "2" "4" "5" "2" "2" "4" "4" "2" "1" "4" "4" "2" "4" "4" "4" "2" "2" "5" "4" "1" "1" "5" "4" "4" "2" "2" "5" "2" "2" "4" "2" "4" "2" "2" "2" "4" "4" "2" "20" "28" "23" "F"
"170" "3" "1" "3" "3" "1" "1" "5" "3" "5" "5" "5" "3" "5" "2" "4" "4" "3" "4" "4" "5" "2" "2" "4" "1" "3" "5" "5" "5" "4" "2" "5" "5" "3" "5" "5" "5" "4" "3" "3" "5" "4" "5" "5" "1" "4" "2" "1" "1" "2" "3" "3" "1" "2" "1" "1" "2" "17" "17" "26" "F"
"171" "4" "3" "4" "2" "2" "4" "5" "5" "3" "3" "4" "3" "4" "5" "3" "2" "2" "3" "2" "2" "3" "5" "3" "1" "2" "1" "4" "4" "2" "4" "1" "4" "1" "1" "4" "4" "2" "5" "5" "4" "4" "5" "5" "3" "3" "5" "1" "3" "3" "1" "3" "1" "2" "1" "1" "3" "19" "19" "12" "M"
"172" "4" "1" "2" "1" "1" "1" "4" "2" "5" "2" "2" "1" "4" "2" "2" "1" "4" "1" "2" "5" "3" "2" "2" "1" "4" "2" "1" "4" "2" "1" "1" "4" "3" "2" "1" "4" "4" "2" "1" "5" "4" "3" "3" "4" "5" "2" "2" "4" "4" "5" "4" "2" "3" "2" "2" "4" "23" "32" "0" "F"
"173" "2" "2" "2" "1" "1" "1" "4" "2" "5" "2" "2" "3" "3" "4" "3" "3" "2" "3" "2" "3" "3" "4" "3" "2" "3" "2" "2" "2" "3" "4" "4" "5" "3" "2" "2" "3" "4" "4" "4" "3" "3" "3" "4" "2" "4" "4" "4" "4" "3" "5" "3" "3" "1" "4" "4" "4" "20" "35" "32" "F"
"174" "3" "1" "2" "1" "1" "1" "3" "2" "5" "2" "3" "3" "5" "3" "2" "1" "5" "2" "2" "5" "4" "3" "4" "1" "2" "2" "2" "4" "2" "4" "3" "4" "3" "4" "2" "3" "4" "4" "1" "1" "3" "3" "1" "4" "2" "3" "1" "3" "2" "4" "2" "1" "2" "2" "4" "3" "20" "24" "22" "F"
"175" "4" "2" "2" "2" "1" "1" "4" "2" "5" "4" "3" "4" "5" "4" "4" "1" "5" "2" "3" "4" "4" "3" "3" "2" "4" "1" "1" "3" "3" "4" "5" "4" "4" "4" "2" "3" "5" "4" "2" "5" "3" "4" "4" "3" "5" "5" "2" "3" "5" "4" "5" "4" "3" "4" "4" "4" "25" "38" "0" "F"
"176" "3" "1" "1" "2" "1" "1" "3" "1" "4" "4" "4" "3" "5" "3" "4" "2" "5" "4" "2" "5" "5" "4" "4" "3" "2" "3" "4" "5" "5" "4" "5" "5" "5" "5" "4" "5" "1" "4" "4" "4" "3" "4" "2" "2" "4" "4" "2" "2" "4" "3" "2" "1" "3" "1" "1" "2" "20" "21" "20" "F"
"177" "4" "1" "2" "1" "1" "1" "2" "4" "5" "2" "2" "4" "4" "2" "2" "1" "5" "1" "2" "4" "4" "2" "5" "2" "5" "1" "4" "3" "2" "4" "5" "4" "4" "1" "2" "5" "5" "5" "2" "4" "3" "3" "5" "2" "4" "4" "1" "4" "4" "4" "4" "1" "1" "4" "2" "4" "20" "29" "21" "F"
"178" "3" "2" "1" "1" "1" "1" "5" "1" "4" "3" "5" "3" "3" "2" "4" "1" "4" "3" "3" "3" "3" "3" "3" "1" "5" "3" "4" "1" "3" "3" "5" "5" "3" "5" "3" "2" "5" "5" "3" "4" "3" "5" "5" "3" "4" "3" "1" "4" "1" "3" "1" "1" "1" "1" "2" "4" "19" "19" "23" "F"
"179" "4" "1" "1" "1" "1" "1" "5" "2" "5" "5" "4" "4" "5" "2" "5" "2" "5" "2" "3" "5" "4" "2" "2" "1" "4" "2" "2" "3" "3" "4" "4" "5" "3" "2" "2" "4" "4" "5" "4" "4" "4" "2" "5" "3" "4" "4" "2" "4" "2" "1" "2" "1" "2" "1" "1" "4" "19" "20" "20" "F"
"180" "4" "1" "3" "3" "2" "2" "2" "4" "4" "2" "2" "2" "2" "2" "3" "1" "4" "1" "4" "4" "4" "4" "2" "2" "2" "2" "2" "1" "2" "4" "1" "5" "2" "1" "3" "4" "4" "5" "2" "4" "2" "4" "5" "3" "4" "5" "4" "4" "4" "5" "4" "4" "4" "5" "4" "4" "22" "42" "28" "F"
"181" "4" "3" "2" "2" "2" "1" "3" "5" "4" "2" "3" "3" "4" "1" "4" "2" "4" "4" "2" "4" "3" "4" "2" "2" "5" "2" "3" "4" "4" "3" "5" "2" "3" "2" "2" "4" "4" "4" "2" "4" "4" "3" "3" "3" "4" "4" "2" "4" "5" "5" "5" "1" "5" "5" "5" "4" "35" "41" "31" "M"
"182" "3" "1" "2" "2" "1" "2" "4" "2" "5" "4" "2" "2" "4" "2" "2" "4" "4" "1" "2" "4" "4" "4" "4" "5" "4" "1" "4" "2" "2" "4" "4" "5" "2" "1" "2" "1" "4" "5" "2" "4" "5" "4" "5" "4" "5" "5" "2" "5" "5" "4" "4" "2" "4" "2" "4" "5" "18" "37" "18" "F"
"183" "3" "2" "2" "1" "1" "1" "4" "2" "5" "4" "4" "4" "4" "2" "3" "2" "4" "2" "2" "4" "2" "3" "3" "2" "4" "1" "4" "3" "2" "4" "2" "3" "3" "2" "3" "2" "4" "5" "5" "5" "4" "5" "5" "2" "3" "4" "4" "4" "4" "4" "4" "2" "3" "4" "4" "3" "19" "36" "30" "F"
"184" "4" "1" "2" "1" "1" "1" "5" "2" "5" "4" "2" "4" "5" "4" "4" "3" "5" "4" "2" "4" "5" "3" "3" "1" "2" "3" "2" "3" "4" "3" "2" "5" "2" "2" "1" "5" "5" "4" "3" "5" "4" "4" "5" "3" "4" "4" "2" "3" "1" "3" "1" "1" "1" "1" "2" "3" "21" "18" "19" "M"
